seeds=40 N=9 T=6 sigma_true=0.1
ssvs tau0=0.02 tau1=1.5 draws=20000 burn=5000

case     method       correct   false  missed  exact  med sig  med frob
block    mple           26.20    1.57    0.80   14/40   0.0908     0.673
block    lasso-cv       20.85   18.43    6.15    0/40   0.6144     3.730
block    lasso-bic      23.70   18.27    3.30    0/40   0.0649     2.799
block    alasso-bic     23.32    8.28    3.67    0/40   0.0924     2.791
block    lasso-best     19.27    1.68    7.72    0/40   0.7462     3.542
block    ssvs           26.32    1.50    0.68   10/40   0.0915     0.785

scatter  mple           26.40    1.40    0.60   17/40   0.0887     0.596
scatter  lasso-cv       21.73   19.30    5.28    0/40   0.4297     3.321
scatter  lasso-bic      23.98   17.00    3.02    0/40   0.0649     2.786
scatter  alasso-bic     23.57    7.85    3.42    2/40   0.0963     2.714
scatter  lasso-best     19.68    2.35    7.33    0/40   0.6960     3.224
scatter  ssvs           26.00    1.12    1.00   17/40   0.0941     0.525

paired against mple, both cases pooled (errors = false + missed)
  lasso-cv    worse than mple  80   better   0   equal   0   of 80
  lasso-bic   worse than mple  80   better   0   equal   0   of 80
  alasso-bic  worse than mple  77   better   2   equal   1   of 80
  lasso-best  worse than mple  79   better   0   equal   1   of 80
  ssvs        worse than mple  24   better  24   equal  32   of 80

rows selected with more cells than observations: 0

      seed case     method        M  corr  false  miss   sigma    frob
  20279726 block    lasso-best   19    16      3    11  0.8094   5.214
  20279726 block    ssvs         27    27      0     0  0.0809   0.360
  20279726 scatter  mple         27    27      0     0  0.0905   0.280
  20279726 scatter  lasso-cv     36    20     16     7  1.3721   5.492
  20279726 scatter  lasso-bic    39    24     15     3  0.0608   4.995
  20279726 scatter  alasso-bic   33    24      9     3  0.0851   5.019
  20279726 scatter  lasso-best   27    21      6     6  0.7057   5.261
  20279726 scatter  ssvs         27    27      0     0  0.0905   0.281
  20280726 block    mple         27    27      0     0  0.0923   0.269
  20280726 block    lasso-cv     43    23     20     4  0.1970   2.581
  20280726 block    lasso-bic    44    24     20     3  0.0606   2.273
  20280726 block    alasso-bic   29    24      5     3  0.0971   1.963
  20280726 block    lasso-best   21    19      2     8  0.7941   4.151
  20280726 block    ssvs         27    27      0     0  0.0922   0.255
  20280726 scatter  mple         27    27      0     0  0.0736   0.481
  20280726 scatter  lasso-cv     38    19     19     8  0.5658   4.403
  20280726 scatter  lasso-bic    43    24     19     3  0.0765   3.075
  20280726 scatter  alasso-bic   32    24      8     3  0.0795   3.027
  20280726 scatter  lasso-best   21    19      2     8  0.7517   4.304
  20280726 scatter  ssvs         27    27      0     0  0.0735   0.471
  20281726 block    mple         27    27      0     0  0.1012   0.303
  20281726 block    lasso-cv     19    13      6    14  1.2249   6.620
